Name,Rating
"POCO C31 (Royal Blue, 64 GB)",4.4
"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.3
"POCO C31 (Shadow Gray, 64 GB)",4.4
"I Kall Z2 (Purple, 32 GB)",3.1
"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.3
"realme C25Y (Glacier Blue, 64 GB)",4.5
"realme 8s 5G (Universe Purple, 128 GB)",4.4
"I Kall Z7 Ultra Series (Blue, 32 GB)",3.4
"realme 8s 5G (Universe Purple, 128 GB)",4.4
"REDMI 9i Sport (Metallic Blue, 64 GB)",4.4
"realme 8 (Cyber Black, 128 GB)",4.4
"I Kall Z5 (Pink, 16 GB)",3
"realme 8 (Cyber Silver, 128 GB)",4.4
"realme C20 (Cool Blue, 32 GB)",4.4
"realme C20 (Cool Grey, 32 GB)",4.4
"I Kall Z3 (Purple, 32 GB)",3
"OPPO K10 (Blue Flame, 128 GB)",4.4
"OPPO K10 (Black Carbon, 128 GB)",4.4
"realme 8s 5G (Universe Blue, 128 GB)",4.4
"I Kall Z7 (Blue, 32 GB)",3.2
"REDMI 9i Sport (Coral Green, 64 GB)",4.4
"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",4.3
"realme Narzo 50i (Carbon Black, 32 GB)",4.5
"I Kall Z3 PRo (Purple, 32 GB)",3
